kmax=15
(7,6),(6,-7),(0,-85)
(14,13),(14,-15),(1,-392)
(14,15),(14,-13),(1,-392)
(1,27),(29,-1),(2,-784)
(13,14),(13,-12),(1,-338)
(1,25),(27,-1),(2,-676)
(12,11),(12,-13),(1,-288)
(25,1),(1,-23),(2,-576)
(1,23),(25,-1),(2,-576)
(12,13),(12,-11),(1,-288)
(1,21),(23,-1),(2,-484)
(23,1),(1,-21),(2,-484)
(11,10),(11,-12),(1,-242)
(11,12),(11,-10),(1,-242)
(21,1),(1,-19),(2,-400)
(1,19),(21,-1),(2,-400)
(10,11),(10,-9),(1,-200)
(10,9),(10,-11),(1,-200)
(29,1),(1,-25),(4,-726)
(1,25),(29,-1),(4,-726)
(14,15),(13,-12),(2,-363)
(13,12),(14,-15),(2,-363)
(19,1),(1,-17),(2,-324)
(9,8),(9,-10),(1,-162)
(1,23),(27,-1),(4,-622)
(13,14),(12,-11),(2,-311)
(12,11),(13,-14),(2,-311)
(11,10),(12,-13),(2,-263)
(25,1),(1,-21),(4,-526)
(8,7),(8,-9),(1,-128)
(8,9),(8,-7),(1,-128)
(1,15),(17,-1),(2,-256)
(17,1),(1,-15),(2,-256)
(14,15),(12,-11),(3,-334)
(1,23),(29,-1),(6,-668)
(29,1),(1,-23),(6,-668)
(10,9),(11,-12),(2,-219)
(23,1),(1,-19),(4,-438)
(1,19),(23,-1),(4,-438)
(11,12),(10,-9),(2,-219)
(1,13),(15,-1),(2,-196)
(15,1),(1,-13),(2,-196)
(7,6),(7,-8),(1,-98)
(7,8),(7,-6),(1,-98)
(1,21),(27,-1),(6,-568)
(27,1),(1,-21),(6,-568)
(9,8),(10,-11),(2,-179)
(10,11),(9,-8),(2,-179)
(12,13),(10,-9),(3,-238)
(10,9),(12,-13),(3,-238)
(25,1),(1,-19),(6,-476)
(14,15),(11,-10),(4,-305)
(1,21),(29,-1),(8,-610)
(29,1),(1,-21),(8,-610)
(11,10),(14,-15),(4,-305)
(6,5),(6,-7),(1,-72)
(6,7),(6,-5),(1,-72)
(1,11),(13,-1),(2,-144)
(9,10),(8,-7),(2,-143)
(1,15),(19,-1),(4,-286)
(19,1),(1,-15),(4,-286)
(11,12),(9,-8),(3,-196)
(1,17),(23,-1),(6,-392)
(23,1),(1,-17),(6,-392)
(9,8),(11,-12),(3,-196)
(1,19),(27,-1),(8,-514)
(27,1),(1,-19),(8,-514)
(8,9),(7,-6),(2,-111)
(7,6),(8,-9),(2,-111)
(29,1),(1,-19),(10,-552)
(1,19),(29,-1),(10,-552)
(14,15),(10,-9),(5,-276)
(10,9),(14,-15),(5,-276)
(1,17),(25,-1),(8,-426)
(12,13),(9,-8),(4,-213)
(10,11),(8,-7),(3,-158)
(8,7),(10,-11),(3,-158)
(1,9),(11,-1),(2,-100)
(5,6),(5,-4),(1,-50)
(5,4),(5,-6),(1,-50)
(11,1),(1,-9),(2,-100)
(27,1),(1,-17),(10,-460)
(1,17),(27,-1),(10,-460)
(13,14),(9,-8),(5,-230)
(1,15),(23,-1),(8,-346)
(11,12),(8,-7),(4,-173)
(8,7),(11,-12),(4,-173)
(23,1),(1,-15),(8,-346)
(6,5),(7,-8),(2,-83)
(15,1),(1,-11),(4,-166)
(1,11),(15,-1),(4,-166)
(9,10),(7,-6),(3,-124)
(1,13),(19,-1),(6,-248)
(19,1),(1,-13),(6,-248)
(7,6),(9,-10),(3,-124)
(1,17),(29,-1),(12,-494)
(14,15),(9,-8),(6,-247)
(9,8),(14,-15),(6,-247)
(29,1),(1,-17),(12,-494)
(12,13),(8,-7),(5,-188)
