kmax=30
(1,59),(59,-1),(0,-3482)
(1,57),(59,-1),(2,-3364)
(29,30),(29,-28),(1,-1682)
(29,28),(29,-30),(1,-1682)
(59,1),(1,-57),(2,-3364)
(1,55),(57,-1),(2,-3136)
(57,1),(1,-55),(2,-3136)
(28,27),(28,-29),(1,-1568)
(28,29),(28,-27),(1,-1568)
(55,1),(1,-53),(2,-2916)
(27,26),(27,-28),(1,-1458)
(27,28),(27,-26),(1,-1458)
(26,25),(26,-27),(1,-1352)
(26,27),(26,-25),(1,-1352)
(1,51),(53,-1),(2,-2704)
(25,26),(25,-24),(1,-1250)
(25,24),(25,-26),(1,-1250)
(51,1),(1,-49),(2,-2500)
(49,1),(1,-47),(2,-2304)
(1,47),(49,-1),(2,-2304)
(24,25),(24,-23),(1,-1152)
(47,1),(1,-45),(2,-2116)
(1,45),(47,-1),(2,-2116)
(23,24),(23,-22),(1,-1058)
(22,23),(22,-21),(1,-968)
(22,21),(22,-23),(1,-968)
(1,41),(43,-1),(2,-1764)
(43,1),(1,-41),(2,-1764)
(1,55),(59,-1),(4,-3246)
(29,30),(28,-27),(2,-1623)
(28,27),(29,-30),(2,-1623)
(59,1),(1,-55),(4,-3246)
(20,21),(20,-19),(1,-800)
(20,19),(20,-21),(1,-800)
(1,53),(57,-1),(4,-3022)
(57,1),(1,-53),(4,-3022)
(19,20),(19,-18),(1,-722)
(19,18),(19,-20),(1,-722)
(39,1),(1,-37),(2,-1444)
(1,37),(39,-1),(2,-1444)
(26,25),(27,-28),(2,-1403)
(55,1),(1,-51),(4,-2806)
(1,51),(55,-1),(4,-2806)
(25,24),(26,-27),(2,-1299)
(53,1),(1,-49),(4,-2598)
(1,49),(53,-1),(4,-2598)
(26,27),(25,-24),(2,-1299)
(18,19),(18,-17),(1,-648)
(18,17),(18,-19),(1,-648)
(1,47),(51,-1),(4,-2398)
(51,1),(1,-47),(4,-2398)
(17,16),(17,-18),(1,-578)
(17,18),(17,-16),(1,-578)
(1,33),(35,-1),(2,-1156)
(35,1),(1,-33),(2,-1156)
(24,25),(23,-22),(2,-1103)
(23,22),(24,-25),(2,-1103)
(49,1),(1,-45),(4,-2206)
(1,45),(49,-1),(4,-2206)
(27,26),(29,-30),(3,-1564)
(59,1),(1,-53),(6,-3128)
(1,53),(59,-1),(6,-3128)
(29,30),(27,-26),(3,-1564)
(1,31),(33,-1),(2,-1024)
(33,1),(1,-31),(2,-1024)
(23,24),(22,-21),(2,-1011)
(22,21),(23,-24),(2,-1011)
(47,1),(1,-43),(4,-2022)
(1,43),(47,-1),(4,-2022)
(28,29),(26,-25),(3,-1454)
(26,25),(28,-29),(3,-1454)
(57,1),(1,-51),(6,-2908)
(1,51),(57,-1),(6,-2908)
(22,23),(21,-20),(2,-923)
(21,20),(22,-23),(2,-923)
(45,1),(1,-41),(4,-1846)
(1,41),(45,-1),(4,-1846)
(31,1),(1,-29),(2,-900)
(1,29),(31,-1),(2,-900)
(15,16),(15,-14),(1,-450)
(15,14),(15,-16),(1,-450)
(1,49),(55,-1),(6,-2696)
(55,1),(1,-49),(6,-2696)
(43,1),(1,-39),(4,-1678)
(1,39),(43,-1),(4,-1678)
(53,1),(1,-47),(6,-2492)
(24,23),(26,-27),(3,-1246)
(26,27),(24,-23),(3,-1246)
(1,47),(53,-1),(6,-2492)
(14,13),(14,-15),(1,-392)
(14,15),(14,-13),(1,-392)
(1,27),(29,-1),(2,-784)
(29,1),(1,-27),(2,-784)
(23,22),(25,-26),(3,-1148)
(25,26),(23,-22),(3,-1148)
(41,1),(1,-37),(4,-1518)
(1,37),(41,-1),(4,-1518)
(20,21),(19,-18),(2,-759)
(19,18),(20,-21),(2,-759)
(1,51),(59,-1),(8,-3010)
(59,1),(1,-51),(8,-3010)
(26,25),(29,-30),(4,-1505)
(49,1),(1,-43),(6,-2108)
(1,43),(49,-1),(6,-2108)
(24,25),(22,-21),(3,-1054)
(57,1),(1,-49),(8,-2794)
(25,24),(28,-29),(4,-1397)
(28,29),(25,-24),(4,-1397)
(1,49),(57,-1),(8,-2794)
(39,1),(1,-35),(4,-1366)
(1,35),(39,-1),(4,-1366)
(1,25),(27,-1),(2,-676)
(27,1),(1,-25),(2,-676)
(13,12),(13,-14),(1,-338)
(27,28),(24,-23),(4,-1293)
(24,23),(27,-28),(4,-1293)
(55,1),(1,-47),(8,-2586)
(47,1),(1,-41),(6,-1928)
(21,20),(23,-24),(3,-964)
(23,24),(21,-20),(3,-964)
(18,19),(17,-16),(2,-611)
(17,16),(18,-19),(2,-611)
(37,1),(1,-33),(4,-1222)
(26,27),(23,-22),(4,-1193)
(23,22),(26,-27),(4,-1193)
(53,1),(1,-45),(8,-2386)
(1,45),(53,-1),(8,-2386)
(20,19),(22,-23),(3,-878)
(45,1),(1,-39),(6,-1756)
(1,39),(45,-1),(6,-1756)
(29,30),(25,-24),(5,-1446)
(25,24),(29,-30),(5,-1446)
(59,1),(1,-49),(10,-2892)
(1,23),(25,-1),(2,-576)
(12,13),(12,-11),(1,-288)
(12,11),(12,-13),(1,-288)
(25,1),(1,-23),(2,-576)
(51,1),(1,-43),(8,-2194)
(1,43),(51,-1),(8,-2194)
(25,26),(22,-21),(4,-1097)
(22,21),(25,-26),(4,-1097)
(17,18),(16,-15),(2,-543)
(1,31),(35,-1),(4,-1086)
(35,1),(1,-31),(4,-1086)
(24,23),(28,-29),(5,-1340)
(57,1),(1,-47),(10,-2680)
(1,47),(57,-1),(10,-2680)
(28,29),(24,-23),(5,-1340)
(19,18),(21,-22),(3,-796)
(21,22),(19,-18),(3,-796)
(24,25),(21,-20),(4,-1005)
(21,20),(24,-25),(4,-1005)
(55,1),(1,-45),(10,-2476)
(1,45),(55,-1),(10,-2476)
(27,28),(23,-22),(5,-1238)
(23,22),(27,-28),(5,-1238)
(1,21),(23,-1),(2,-484)
(11,12),(11,-10),(1,-242)
(1,29),(33,-1),(4,-958)
(16,17),(15,-14),(2,-479)
(15,14),(16,-17),(2,-479)
(41,1),(1,-35),(6,-1436)
(1,35),(41,-1),(6,-1436)
(20,21),(18,-17),(3,-718)
(18,17),(20,-21),(3,-718)
(24,23),(29,-30),(6,-1387)
